plate,well,f_site,bf_site,f_nuc_path,bf_nuc_path,f_ref_a,f_ref_b,f_ref_c,f_ref_d,bf_ref_a,bf_ref_b,bf_ref_c,bf_ref_d
P015085,D08,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D08_s4_w13F8BDB9A-11A6-4DE1-9632-28C6C781DA02.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D08_s2_w1EA369C56-3C40-46D5-9476-6402C0767D8B.tif,0,-16,0,-18,16,2160,18,2160
P015085,D08,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D08_s5_w12E6EF4AB-EBB5-45D4-A146-ED5D85CA706A.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D08_s3_w1C2A987CE-E92A-45B6-92FB-A417D37868F9.tif,0,-16,0,-18,16,2160,18,2160
P015085,D08,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D08_s6_w1F5919999-CAD9-4404-B46A-4370C8C15E9F.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D08_s4_w1DF3D7E78-E72C-4E14-9F91-99115BFB1DA9.tif,0,-16,0,-18,16,2160,18,2160
P015085,D08,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D08_s8_w193665041-85FB-4414-977C-890B0D5AD9CE.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D08_s5_w17B993033-D49F-4109-A62E-A81BC95DD201.tif,0,-15,0,-18,15,2160,18,2160
P015085,D14,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D14_s2_w11C3B60C2-FE99-4A94-9127-4774137CF7D3.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D14_s1_w1F867CF8E-F606-47F4-86C7-A9285061165C.tif,0,-15,0,-7,15,2160,7,2160
P015085,D14,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D14_s4_w1EE4E9B26-D611-43C2-BFE5-1749B945AA37.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D14_s2_w1119385D0-99ED-4D6C-9477-45E7B066BDE7.tif,0,-15,0,-7,15,2160,7,2160
P015085,D14,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D14_s5_w16E8C04B2-6340-4E42-8EAE-3BDB4380F4BB.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D14_s3_w18BB14CAC-7B7A-4F85-BE29-1B080349BC68.tif,0,-15,0,-7,15,2160,7,2160
P015085,D14,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D14_s6_w168F5FDEF-B15B-4376-938E-D2188E9F13C3.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D14_s4_w135CEFBFA-BB46-4328-8E8D-863C14ACDAC0.tif,0,-15,0,-7,15,2160,7,2160
P015085,D14,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D14_s8_w17732A57C-652C-4834-8199-A535ECDAF144.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D14_s5_w10EE3C41B-15D1-4E60-B2AC-E1E2498E7072.tif,0,-14,0,-7,14,2160,7,2160
P015085,D21,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D21_s2_w135620D20-01BB-4DDB-A0DE-0D8CC89D8D7C.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D21_s1_w1E4B87600-D8EC-4241-9633-1694D13C92F2.tif,0,-15,5,2160,15,2160,0,-5
P015085,D21,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D21_s4_w1824DE321-5874-4B66-99C9-9AAAA9690B42.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D21_s2_w1262F2E82-DAF6-4FFA-B31D-9E8E02081357.tif,0,-14,5,2160,14,2160,0,-5
P015085,D21,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D21_s5_w16A44D53D-4C87-49EE-94BB-AA6F96F44214.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D21_s3_w139802AFF-53BB-495C-8501-C734FB1B3413.tif,0,-14,5,2160,14,2160,0,-5
P015085,D21,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D21_s6_w1C3A5DDEE-5D1C-4D60-BFD2-E78612BFDA13.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D21_s4_w133E4FC7A-C39A-475D-9061-E8CED2D370E7.tif,0,-14,5,2160,14,2160,0,-5
P015085,D21,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_D21_s8_w1ACB8DFC1-09B7-45F5-A3AE-7599C67E2EDC.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_D21_s5_w14E20EF28-1896-4C85-BF47-BC82AAC22A15.tif,0,-14,5,2160,14,2160,0,-5
P015085,E02,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E02_s2_w1A1E3C23D-CDFB-43DC-9B45-682677A76738.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E02_s1_w1397BAB40-C327-485D-BE92-4AAF4268662A.tif,0,-16,0,-27,16,2160,27,2160
P015085,E02,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E02_s4_w1F0CAD6AB-5BE8-472A-A52D-0DB80457CBD1.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E02_s2_w1671F56EA-7DB8-40C3-A1C7-1BF2B78A3F2B.tif,0,-16,0,-28,16,2160,28,2160
P015085,E02,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E02_s5_w1EAE93F6E-A72A-49CB-B70C-D381B95B3F38.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E02_s3_w1195F7D4D-C397-488D-8B49-00E8518CA5B2.tif,0,-16,0,-27,16,2160,27,2160
P015085,E02,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E02_s6_w14785B2D6-AF69-4143-BD16-0BF98C6A72C1.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E02_s4_w1FCAB9FBE-B1DE-4FA5-8670-5A721097C3F9.tif,0,-16,0,-27,16,2160,27,2160
P015085,E02,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E02_s8_w12C43114F-21ED-47D8-8C18-E6E35D1C704B.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E02_s5_w192010C9C-BF1F-4B8C-A82B-845BCEC420B1.tif,0,-15,0,-27,15,2160,27,2160
P015085,E06,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E06_s2_w1105CFD99-6E8E-41D8-B818-E88EDE2E3011.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E06_s1_w15FA20F59-D777-4AD7-A9D6-7437F9BA80DA.tif,0,-14,0,-22,14,2160,22,2160
P015085,E06,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E06_s4_w185737626-848B-44F2-9B18-2D67CDB3B9BC.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E06_s2_w174EB5386-62FD-485F-9752-3520B767E0F7.tif,0,-14,0,-22,14,2160,22,2160
P015085,E06,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E06_s5_w10B3E719D-6560-4BAA-98E7-3C3D02A78F54.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E06_s3_w1047DED84-96F3-472A-A4BA-17AB44A3CE27.tif,0,-14,0,-22,14,2160,22,2160
P015085,E06,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E06_s6_w1BA9B7894-A986-48F8-B5FA-00465726E231.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E06_s4_w176806B13-C348-4056-AB8F-B61FFF093264.tif,0,-14,0,-22,14,2160,22,2160
P015085,E06,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E06_s8_w1F7738304-E64A-43B0-BCDE-595EAF7DBF81.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E06_s5_w1FF858BA5-9C14-4E61-81F6-4AB5B10D70A5.tif,0,-14,0,-22,14,2160,22,2160
P015085,E11,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E11_s2_w11982FE79-220D-4850-9F54-3EFABA4F4AE3.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E11_s1_w1FB037C4C-D27C-4B1C-B080-9AF0D3FD4FD2.tif,0,-13,0,-13,13,2160,13,2160
P015085,E11,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E11_s4_w1CF541D8F-36E3-4730-AD6A-1DF1307EF638.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E11_s2_w1822DF543-6EC7-4F24-AD25-84E9186A04D2.tif,0,-13,0,-13,13,2160,13,2160
P015085,E11,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E11_s5_w1586A7E24-135A-4197-B3E6-8B7E77642C84.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E11_s3_w1FB244712-2EE5-4B51-942B-BB00C3BB4476.tif,0,-13,0,-13,13,2160,13,2160
P015085,E11,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E11_s6_w12C18F980-15FD-45A4-AE3A-AA841649BA8E.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E11_s4_w1154A0EC3-2493-413E-9FAD-3754B8D548F1.tif,0,-13,0,-12,13,2160,12,2160
P015085,E11,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E11_s8_w1E87D4D27-16DB-47F5-9355-4CE0263506FD.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E11_s5_w151D475B6-EC19-40F5-9E7A-85D1B51A2D4F.tif,0,-13,0,-13,13,2160,13,2160
P015085,E13,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E13_s2_w13FA7BC02-73AC-45B4-AAFE-D6B1EC177DB1.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E13_s1_w131A3113C-30DF-4F9D-86A7-354008663ABC.tif,0,-13,0,-9,13,2160,9,2160
P015085,E13,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E13_s4_w11A869F1C-18F1-46E5-899F-86D34F86E4F4.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E13_s2_w130F13007-E144-41FF-81C2-CAEA6476BDDA.tif,0,-13,0,-9,13,2160,9,2160
P015085,E13,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E13_s5_w1C481765D-F73C-4FDE-8AFF-E763A9FFEB29.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E13_s3_w1482D3B66-6851-413E-AEBE-E3FD52AB4721.tif,0,-12,0,-9,12,2160,9,2160
P015085,E13,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E13_s6_w16A4DFB6E-B101-4A86-8BE9-1D9933597285.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E13_s4_w1BDC2A0AE-CFF6-4A37-94D8-24DB7BBDACA3.tif,0,-12,0,-9,12,2160,9,2160
P015085,E13,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E13_s8_w135D3ACF0-C885-4C6C-8405-ED44EDA25AE9.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E13_s5_w17E1484C6-FA4D-409C-9840-1703D2961549.tif,0,-12,0,-9,12,2160,9,2160
P015085,E16,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E16_s2_w1FB8A65D6-8B5F-44A9-A7BC-B418A41B77F0.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E16_s1_w1E2C7D3EF-3CE1-480F-8251-71DC1E8BE121.tif,0,-13,0,-3,13,2160,3,2160
P015085,E16,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E16_s4_w1DD795552-1CCB-4FE9-A8BF-284BDC2F2FC4.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E16_s2_w18AB76242-7DA4-4C43-8714-BD166251A9D8.tif,0,-13,0,-4,13,2160,4,2160
P015085,E16,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E16_s5_w11269BE64-72B3-484C-AC11-BC0F08CE5A24.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E16_s3_w1D0B23C37-E43B-41F4-AA70-310E8538A9F3.tif,0,-13,0,-3,13,2160,3,2160
P015085,E16,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E16_s6_w1D13F0B6C-19BA-4405-88E1-83CF7354E430.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E16_s4_w104880761-C5BF-4035-96B1-045302E2E816.tif,0,-13,0,-3,13,2160,3,2160
P015085,E16,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E16_s8_w1B7C0ABC6-7AD0-4876-A70A-F2DB3352EA38.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E16_s5_w112F8068C-CB73-4596-9EE8-316308812738.tif,0,-12,0,-3,12,2160,3,2160
P015085,E17,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E17_s2_w1DB2EF103-E17A-4AF9-9E05-6E2B3565ACD9.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E17_s1_w158105CF3-88C5-4EF4-AE58-E54E2340B26D.tif,0,-13,0,-1,13,2160,1,2160
P015085,E17,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E17_s4_w19F6AB9C7-0958-497A-8285-063EF0CA79A9.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E17_s2_w1E8905BC7-B251-4A9B-AF05-20F1C8137724.tif,0,-12,0,-2,12,2160,2,2160
P015085,E17,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E17_s5_w1D252A009-3BF8-4C3B-BA41-7A5F10FB8B02.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E17_s3_w1544D0596-F931-48E1-BDBC-5E2FDA8960AF.tif,0,-12,0,-1,12,2160,1,2160
P015085,E17,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E17_s6_w1B2418929-7EA9-4E98-9BCC-50EB1357AC13.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E17_s4_w15B280303-3FF4-4959-90AB-92356700D55C.tif,0,-12,0,-1,12,2160,1,2160
P015085,E17,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E17_s8_w123DF83DB-D0FF-4EA4-BA4C-2932BF031FE6.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E17_s5_w1AA330C6E-5C6C-4DC8-BE18-735445D3C967.tif,0,-12,0,-1,12,2160,1,2160
P015085,E20,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E20_s2_w1394A75D4-D38E-4A36-801E-8014EB0836C6.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E20_s1_w1043987F5-C039-467B-995D-2C3EA93CD58D.tif,0,-13,4,2160,13,2160,0,-4
P015085,E20,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E20_s4_w1A634B4BC-8540-4968-A811-50B1B021479D.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E20_s2_w19433DF73-A3DD-4621-AD61-360066BFF1C9.tif,0,-12,3,2160,12,2160,0,-3
P015085,E20,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E20_s5_w1911B9851-2965-44D1-BB77-C15AD099F260.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E20_s3_w1AE5A8776-CBC2-479C-B6B0-B9D365694CE2.tif,0,-13,4,2160,13,2160,0,-4
P015085,E20,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E20_s6_w197AC6E17-6DB4-472B-8CED-478881C7EA0B.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E20_s4_w1D5096BAC-7156-4E20-812C-022BCC45D723.tif,0,-13,4,2160,13,2160,0,-4
P015085,E20,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E20_s8_w13A1B5476-248C-4A39-B426-4E7B519912E8.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E20_s5_w1A2C7544C-85D3-4F95-A2D4-0DBEF204DC97.tif,0,-12,4,2160,12,2160,0,-4
P015085,E22,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E22_s2_w1B81E84F3-7C69-4D27-8638-7CF702153434.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E22_s1_w1A21F71D7-13FA-4C00-AB86-91779277A8BB.tif,0,-15,0,2160,15,2160,0,2160
P015085,E22,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E22_s4_w1A84EDB4B-E70A-4E89-A5E9-4DBE8BB32487.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E22_s2_w16A97A35C-7083-4007-A879-712DD5B32576.tif,0,-13,7,2160,13,2160,0,-7
P015085,E22,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E22_s5_w18EBC41C9-35B9-4AA9-9964-3E74D0321518.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E22_s3_w1E3231E08-D6D2-467F-B251-83188C2D66E3.tif,0,-13,8,2160,13,2160,0,-8
P015085,E22,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E22_s6_w1D9DCCCE0-1F94-4CA8-A1F5-96AF9C2A742F.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E22_s4_w177E1D90C-B909-4A96-BEAB-9ED12861E39B.tif,0,-13,8,2160,13,2160,0,-8
P015085,E22,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_E22_s8_w14A00AD5E-C8E0-4D6D-968C-98CB1E376817.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_E22_s5_w1A6E1404A-D81C-4041-B7A9-13803E9F1F1D.tif,0,-12,8,2160,12,2160,0,-8
P015085,F02,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F02_s2_w11834C64B-00F3-4B40-9336-21AACFBF792D.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F02_s1_w14DE538CC-7598-4B49-862D-5FE787F2047F.tif,0,-14,0,-28,14,2160,28,2160
P015085,F02,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F02_s4_w1380A1169-0BAB-4243-8AE1-70783619D411.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F02_s2_w10F234DD6-0423-4DC1-B8B5-DE55A5CB9B9C.tif,0,-14,0,-28,14,2160,28,2160
P015085,F02,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F02_s5_w1EDADF33B-1143-4B13-8119-E8838803A902.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F02_s3_w11C1BD2A4-B6B9-430E-B17A-19C4155D410A.tif,0,-14,0,-28,14,2160,28,2160
P015085,F02,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F02_s6_w16226D44B-BF31-41F5-94B4-D7CB6FADEF2F.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F02_s4_w14B29B465-EAEF-4735-96E8-A30FB9BEECE1.tif,0,-14,0,-27,14,2160,27,2160
P015085,F02,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F02_s8_w1E653C023-1988-446C-9B36-1CF291A5924B.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F02_s5_w1E8939C76-7E43-47E6-A102-0BBADE98FC9A.tif,0,-13,0,-28,13,2160,28,2160
P015085,F05,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F05_s2_w1383DCE1B-E85C-4BE7-ADE5-7651DBA28036.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F05_s1_w1C03B63E3-DC3B-4927-9F65-2345D65A7033.tif,0,-12,0,-24,12,2160,24,2160
P015085,F05,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F05_s4_w1D9427AE6-862E-418A-839C-ED8C5289BAA2.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F05_s2_w18AEB7451-C30E-408D-AB58-AC60DCC5870C.tif,0,-12,0,-25,12,2160,25,2160
P015085,F05,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F05_s5_w1D0FEAC45-4C53-4999-A600-41A4D152623E.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F05_s3_w1F5F9625F-883A-4F48-9158-8B8D77F4A87F.tif,0,-12,0,-24,12,2160,24,2160
P015085,F05,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F05_s6_w134DC1606-4AF7-4532-B70A-4B244528F2F8.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F05_s4_w119DA8C0D-2D9A-4492-BD59-7832070924EB.tif,0,-12,0,-24,12,2160,24,2160
P015085,F05,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F05_s8_w1A2698239-EC8D-493E-BCDF-C651C4514D53.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F05_s5_w1B21EDCF2-6407-4680-B17C-82B7F3AF7D73.tif,0,-12,0,-24,12,2160,24,2160
P015085,F10,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F10_s2_w1578BE96C-DD12-47D3-9499-868995C8A134.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F10_s1_w19EB9C277-208D-4FE6-9286-C88532E25785.tif,0,-11,0,-15,11,2160,15,2160
P015085,F10,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F10_s4_w1CE01FD87-2CDB-47EF-853F-98A97954520E.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F10_s2_w14643B092-2934-482E-88D7-C26037BD8F12.tif,0,-12,0,-15,12,2160,15,2160
P015085,F10,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F10_s5_w1D7442C78-E4BA-496F-BD24-10474C84CD41.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F10_s3_w1F40F37A4-DB41-47B2-A823-E2B65E60348E.tif,0,-11,0,-15,11,2160,15,2160
P015085,F10,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F10_s6_w19A165FDC-45A7-478E-8F19-DF41A79C173D.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F10_s4_w109E232A1-9C26-4D04-ACDC-524BA06FCDB1.tif,0,2160,0,2160,0,2160,0,2160
P015085,F10,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F10_s8_w143316165-95A4-4F8C-8970-EFC5728B5755.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F10_s5_w1548A7FBD-04CC-486E-B44B-A8EADE417A9D.tif,0,-11,0,-15,11,2160,15,2160
P015085,F11,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F11_s2_w1BB2AD9FA-2569-41B0-BADF-A43D40E05B55.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F11_s1_w1CFEFFA7F-D80D-46BA-A1E3-2440FF0EAF6E.tif,0,-11,0,-13,11,2160,13,2160
P015085,F11,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F11_s4_w16789F701-4467-4E13-A971-AAE29DC9C3FA.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F11_s2_w10DD5D01A-05AB-45FB-B1C8-3C44FC66C908.tif,0,-11,0,-13,11,2160,13,2160
P015085,F11,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F11_s5_w1B9433FDE-ADBA-4D2D-ADB8-3E4F1F02F76D.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F11_s3_w1A0DA6C13-42C7-4DA7-B9C7-53BDA624BA3B.tif,0,-11,0,-13,11,2160,13,2160
P015085,F11,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F11_s6_w12FCED05C-9844-4177-82D0-BA96F044973D.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F11_s4_w1F6CA0494-93E9-4B88-A98E-DA12DB1EFC1F.tif,0,-11,0,-12,11,2160,12,2160
P015085,F11,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F11_s8_w176A74E79-D6F2-4080-8DF7-17494D219152.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F11_s5_w1E70C87C1-76A5-475D-9019-69855898665C.tif,0,-11,0,-13,11,2160,13,2160
P015085,F21,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F21_s2_w19D784C4B-FD03-439C-BCA0-BE3B91B73046.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F21_s1_w1ACB82FA0-A0BD-4CD2-BCBE-A9E2F0B7921E.tif,0,-11,5,2160,11,2160,0,-5
P015085,F21,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F21_s4_w168481A96-926B-4B9A-969A-9819390DBFA6.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F21_s2_w1F6BC5C4D-F468-4608-A4FF-99C74F7B13C6.tif,0,-11,5,2160,11,2160,0,-5
P015085,F21,s5,s3,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F21_s5_w179A3474D-DCCC-48DD-9DE1-D84840B23C1A.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F21_s3_w105EB6262-FAE1-46E5-98BD-C29124BBB313.tif,0,-11,6,2160,11,2160,0,-6
P015085,F21,s6,s4,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F21_s6_w10A7EDFA0-5D03-4FC8-BB18-6EA3E2FC73C6.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F21_s4_w12FA19D80-A1C4-411A-B80E-3C29AAF66EF5.tif,0,-11,6,2160,11,2160,0,-6
P015085,F21,s8,s5,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_F21_s8_w177EDDD97-3B6A-420F-A19D-32EE25193FED.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_F21_s5_w1AE72A85E-8A92-4BFD-8CAD-48E268E5FA33.tif,0,-10,5,2160,10,2160,0,-5
P015085,G03,s2,s1,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_G03_s2_w1F4689E5F-6D33-4C51-92EA-B98F45BC0611.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_G03_s1_w1069AAEC6-F7C9-4442-92EE-207EB7DCB9A9.tif,0,-11,0,-27,11,2160,27,2160
P015085,G03,s4,s2,specs935-v1-FA-P015085-U2OS-48h-P5-L2-test_G03_s4_w1F1B2BF8C-08E3-4EAB-85C8-5AC43332A149.tif,specs935-v1-FA-P015085-U2OS-48h-P5-L2-TL_G03_s2_w116CDDAA0-DFBA-479A-8B81-B8A06045D066.tif,0,-11,0,-28,11,2160,28,2160
